Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-01-17 01:00,BTCUSD,8681.53,8698.0,8668.91,8690.7,137.81,1196631.68
2020-01-17 00:00,BTCUSD,8714.76,8727.57,8665.67,8681.53,283.57,2464662.91
2020-01-16 23:00,BTCUSD,8710.06,8740.0,8705.84,8714.76,231.98,2022899.59
2020-01-16 22:00,BTCUSD,8677.98,8730.0,8675.65,8710.06,283.12,2463308.06
2020-01-16 21:00,BTCUSD,8733.4,8749.71,8662.05,8677.98,474.72,4126365.69
2020-01-16 20:00,BTCUSD,8690.64,8743.03,8680.04,8733.4,275.25,2396930.46
2020-01-16 19:00,BTCUSD,8666.04,8702.27,8662.57,8690.64,373.1,3240373.71
2020-01-16 18:00,BTCUSD,8665.59,8688.23,8633.13,8666.04,350.56,3035028.66
2020-01-16 17:00,BTCUSD,8640.13,8702.22,8635.05,8665.59,422.48,3661220.98
2020-01-16 16:00,BTCUSD,8700.63,8706.7,8602.98,8640.13,525.02,4537631.68
2020-01-16 15:00,BTCUSD,8669.0,8710.5,8657.75,8700.63,414.29,3596551.45
2020-01-16 14:00,BTCUSD,8687.18,8689.35,8630.25,8669.0,255.93,2216594.79
2020-01-16 13:00,BTCUSD,8710.73,8715.11,8652.46,8687.18,418.95,3635798.65
2020-01-16 12:00,BTCUSD,8714.89,8772.38,8685.65,8710.73,341.56,2985281.6
2020-01-16 11:00,BTCUSD,8646.24,8715.01,8616.48,8714.89,360.71,3129302.81
2020-01-16 10:00,BTCUSD,8635.67,8649.0,8590.0,8646.24,245.82,2118585.75
2020-01-16 09:00,BTCUSD,8656.05,8662.92,8593.37,8635.67,274.85,2368730.44
2020-01-16 08:00,BTCUSD,8660.02,8694.83,8643.18,8656.05,176.86,1533667.4
2020-01-16 07:00,BTCUSD,8700.32,8700.32,8642.18,8660.02,166.71,1444052.26
2020-01-16 06:00,BTCUSD,8685.35,8704.01,8660.0,8700.32,182.08,1581936.84
2020-01-16 05:00,BTCUSD,8640.1,8700.52,8639.67,8685.35,236.29,2049224.36
2020-01-16 04:00,BTCUSD,8630.35,8667.9,8606.38,8640.1,341.37,2950100.74
2020-01-16 03:00,BTCUSD,8645.01,8648.17,8580.0,8630.35,663.94,5721025.23
2020-01-16 02:00,BTCUSD,8650.57,8685.15,8600.0,8645.01,504.2,4360545.04
2020-01-16 01:00,BTCUSD,8748.94,8761.03,8605.0,8650.57,928.67,8047793.54
2020-01-16 00:00,BTCUSD,8808.81,8850.0,8705.0,8748.94,766.96,6719911.06
2020-01-15 23:00,BTCUSD,8848.72,8864.29,8786.0,8808.81,425.19,3749023.46
2020-01-15 22:00,BTCUSD,8825.78,8852.26,8800.0,8848.72,676.72,5981578.53
2020-01-15 21:00,BTCUSD,8808.89,8842.92,8780.67,8825.78,466.45,4113535.99
2020-01-15 20:00,BTCUSD,8750.88,8827.25,8727.88,8808.89,738.19,6478467.6
2020-01-15 19:00,BTCUSD,8737.0,8765.97,8730.43,8750.88,268.83,2351511.4
2020-01-15 18:00,BTCUSD,8783.08,8783.1,8706.42,8737.0,424.17,3706021.37
2020-01-15 17:00,BTCUSD,8766.8,8788.0,8718.0,8783.08,510.88,4470576.25
2020-01-15 16:00,BTCUSD,8745.03,8804.0,8658.0,8766.8,839.39,7345774.26
2020-01-15 15:00,BTCUSD,8844.12,8850.87,8726.46,8745.03,1065.1,9355891.07
2020-01-15 14:00,BTCUSD,8884.64,8889.67,8734.2,8844.12,856.19,7557545.93
2020-01-15 13:00,BTCUSD,8753.53,8899.0,8753.53,8884.64,772.23,6813310.64
2020-01-15 12:00,BTCUSD,8714.07,8779.9,8706.39,8753.53,181.22,1586277.38
